audio,ground_truth,prediction,wer,cer
common_voice_vi_24358794.mp3,Mày mà chạy nữa tao thề không chơi với mày nữa đâu,"Mày mà chảy nữa, tao thấy không chơi với mày nữa đâu.",0.16666666666666666,0.06
common_voice_vi_24362782.mp3,vì giữa đường không bắt được xe ôm khác,Vì giữa đường không bắt được xe ơn khác?,0.1111111111111111,0.05128205128205128
common_voice_vi_23936355.mp3,Già làng liền nói,Giả lãng liệu nói,0.75,0.23529411764705882
common_voice_vi_42788631.mp3,Thu về cho cô không ít tiền bạc mối quan hệ tốt,2V cho cô không ủ tiên bạc mối quan hề tốt,0.4166666666666667,0.19148936170212766
common_voice_vi_30171307.mp3,Và ta tiếp chặng hành trình,và ta biếp chẳng hình chương.,0.6666666666666666,0.2962962962962963
common_voice_vi_24425726.mp3,Chinh đứng Tìm máy tính cửa gỗ đang được kéo ra,"Chình đứng tìm mại tính, cửa rõ đang được kéo ra.",0.2727272727272727,0.10638297872340426
common_voice_vi_24124158.mp3,Và câu thơ đâu còn mãi ngày sau,và câu thơ đâu còn mấy ngày 6,0.25,0.16129032258064516
common_voice_vi_24358781.mp3,Trên bầu trời xanh,Linh Bộ Trời Sang,0.75,0.4444444444444444
common_voice_vi_24106634.mp3,Khi còn sống con bé yếu kém hơn mọi người,"Khi còn sống, còn bé yêu cem hư mọi người.",0.4,0.14634146341463414
common_voice_vi_24304405.mp3,Tôi ngậm cái bánh mì nhai ngấu nghiến,"Tôi ngậm cái bánh mì, nhà ngũ nhín",0.375,0.1891891891891892
common_voice_vi_23933072.mp3,Là anh đây chỉ thăm hỏi đôi lời,Lãn đây chỉ tham hội đôi lời.,0.5,0.1935483870967742
common_voice_vi_24304490.mp3,Giai đoạn lãnh đạo,Giay đoạn lánh đạo.,0.5,0.1111111111111111
common_voice_vi_24144207.mp3,Cao đến ngực người trưởng thành,Cào đến ngực người chữa thân.,0.5,0.2903225806451613
common_voice_vi_40249427.mp3,Tự nhiên không đâu vào đâu lại sang nói chuyện này,Tự nhiên không đâu vào đâu lại xe nói chuyện này.,0.09090909090909091,0.08
common_voice_vi_24363084.mp3,Nó lại khỏe mạnh trở lại,Nó lại quay mạnh chờ lại.,0.3333333333333333,0.2916666666666667
common_voice_vi_25158138.mp3,Nơi cậu đã nằm đêm qua,Nơi cậu đã nằm đêm qua,0.0,0.0
common_voice_vi_24362884.mp3,Thì bà ấy cũng không nói lời nào và ra đi như vậy,thì bởi cũng không nói lời nào và ra đi như vậy.,0.15384615384615385,0.08163265306122448
common_voice_vi_23901409.mp3,Không Tao không muốn,Không tạo khùng muống.,0.75,0.15
common_voice_vi_23380408.mp3,Thấy ánh mặt trời,Thấy anh mặc trời.,0.5,0.11764705882352941
common_voice_vi_42788758.mp3,Cây cỏ tỉnh táo,Cây cò tình tạo,0.75,0.2
