audio,ground_truth,prediction,wer,substitutions,deletions,insertions,hits,alignment
common_voice_vi_24358794.mp3,Mày mà chạy nữa tao thề không chơi với mày nữa đâu,"Mày mà chảy nữa, tao thấy không chơi với mày nữa đâu.",0.16666666666666666,2,0,0,10,"[{'type': 'equal', 'reference': 'mày mà', 'hypothesis': 'mày mà'}, {'type': 'substitute', 'reference': 'chạy', 'hypothesis': 'chảy'}, {'type': 'equal', 'reference': 'nữa tao', 'hypothesis': 'nữa tao'}, {'type': 'substitute', 'reference': 'thề', 'hypothesis': 'thấy'}, {'type': 'equal', 'reference': 'không chơi với mày nữa đâu', 'hypothesis': 'không chơi với mày nữa đâu'}]"
common_voice_vi_24362782.mp3,vì giữa đường không bắt được xe ôm khác,Vì giữa đường không bắt được xe ơn khác?,0.1111111111111111,1,0,0,8,"[{'type': 'equal', 'reference': 'vì giữa đường không bắt được xe', 'hypothesis': 'vì giữa đường không bắt được xe'}, {'type': 'substitute', 'reference': 'ôm', 'hypothesis': 'ơn'}, {'type': 'equal', 'reference': 'khác', 'hypothesis': 'khác'}]"
common_voice_vi_23936355.mp3,Già làng liền nói,Giả lãng liệu nói,0.75,3,0,0,1,"[{'type': 'substitute', 'reference': 'già làng liền', 'hypothesis': 'giả lãng liệu'}, {'type': 'equal', 'reference': 'nói', 'hypothesis': 'nói'}]"
common_voice_vi_42788631.mp3,Thu về cho cô không ít tiền bạc mối quan hệ tốt,2V cho cô không ủ tiên bạc mối quan hề tốt,0.4166666666666667,4,1,0,7,"[{'type': 'substitute', 'reference': 'thu', 'hypothesis': '2v'}, {'type': 'delete', 'reference': 'về', 'hypothesis': ''}, {'type': 'equal', 'reference': 'cho cô không', 'hypothesis': 'cho cô không'}, {'type': 'substitute', 'reference': 'ít tiền', 'hypothesis': 'ủ tiên'}, {'type': 'equal', 'reference': 'bạc mối quan', 'hypothesis': 'bạc mối quan'}, {'type': 'substitute', 'reference': 'hệ', 'hypothesis': 'hề'}, {'type': 'equal', 'reference': 'tốt', 'hypothesis': 'tốt'}]"
common_voice_vi_30171307.mp3,Và ta tiếp chặng hành trình,và ta biếp chẳng hình chương.,0.6666666666666666,4,0,0,2,"[{'type': 'equal', 'reference': 'và ta', 'hypothesis': 'và ta'}, {'type': 'substitute', 'reference': 'tiếp chặng hành trình', 'hypothesis': 'biếp chẳng hình chương'}]"
common_voice_vi_24425726.mp3,Chinh đứng Tìm máy tính cửa gỗ đang được kéo ra,"Chình đứng tìm mại tính, cửa rõ đang được kéo ra.",0.2727272727272727,3,0,0,8,"[{'type': 'substitute', 'reference': 'chinh', 'hypothesis': 'chình'}, {'type': 'equal', 'reference': 'đứng tìm', 'hypothesis': 'đứng tìm'}, {'type': 'substitute', 'reference': 'máy', 'hypothesis': 'mại'}, {'type': 'equal', 'reference': 'tính cửa', 'hypothesis': 'tính cửa'}, {'type': 'substitute', 'reference': 'gỗ', 'hypothesis': 'rõ'}, {'type': 'equal', 'reference': 'đang được kéo ra', 'hypothesis': 'đang được kéo ra'}]"
common_voice_vi_24124158.mp3,Và câu thơ đâu còn mãi ngày sau,và câu thơ đâu còn mấy ngày 6,0.25,2,0,0,6,"[{'type': 'equal', 'reference': 'và câu thơ đâu còn', 'hypothesis': 'và câu thơ đâu còn'}, {'type': 'substitute', 'reference': 'mãi', 'hypothesis': 'mấy'}, {'type': 'equal', 'reference': 'ngày', 'hypothesis': 'ngày'}, {'type': 'substitute', 'reference': 'sau', 'hypothesis': '6'}]"
common_voice_vi_24358781.mp3,Trên bầu trời xanh,Linh Bộ Trời Sang,0.75,3,0,0,1,"[{'type': 'substitute', 'reference': 'trên bầu', 'hypothesis': 'linh bộ'}, {'type': 'equal', 'reference': 'trời', 'hypothesis': 'trời'}, {'type': 'substitute', 'reference': 'xanh', 'hypothesis': 'sang'}]"
common_voice_vi_24106634.mp3,Khi còn sống con bé yếu kém hơn mọi người,"Khi còn sống, còn bé yêu cem hư mọi người.",0.4,4,0,0,6,"[{'type': 'equal', 'reference': 'khi còn sống', 'hypothesis': 'khi còn sống'}, {'type': 'substitute', 'reference': 'con', 'hypothesis': 'còn'}, {'type': 'equal', 'reference': 'bé', 'hypothesis': 'bé'}, {'type': 'substitute', 'reference': 'yếu kém hơn', 'hypothesis': 'yêu cem hư'}, {'type': 'equal', 'reference': 'mọi người', 'hypothesis': 'mọi người'}]"
common_voice_vi_24304405.mp3,Tôi ngậm cái bánh mì nhai ngấu nghiến,"Tôi ngậm cái bánh mì, nhà ngũ nhín",0.375,3,0,0,5,"[{'type': 'equal', 'reference': 'tôi ngậm cái bánh mì', 'hypothesis': 'tôi ngậm cái bánh mì'}, {'type': 'substitute', 'reference': 'nhai ngấu nghiến', 'hypothesis': 'nhà ngũ nhín'}]"
