audio,text
common_voice_vi_24358794.mp3,Mày mà chạy nữa tao thề không chơi với mày nữa đâu
common_voice_vi_24362782.mp3,vì giữa đường không bắt được xe ôm khác
common_voice_vi_23936355.mp3,Già làng liền nói
common_voice_vi_42788631.mp3,Thu về cho cô không ít tiền bạc mối quan hệ tốt
common_voice_vi_30171307.mp3,Và ta tiếp chặng hành trình
common_voice_vi_24425726.mp3,Chinh đứng Tìm máy tính cửa gỗ đang được kéo ra
common_voice_vi_24124158.mp3,Và câu thơ đâu còn mãi ngày sau
common_voice_vi_24358781.mp3,Trên bầu trời xanh
common_voice_vi_24106634.mp3,Khi còn sống con bé yếu kém hơn mọi người
common_voice_vi_24304405.mp3,Tôi ngậm cái bánh mì nhai ngấu nghiến
common_voice_vi_23933072.mp3,Là anh đây chỉ thăm hỏi đôi lời
common_voice_vi_24304490.mp3,Giai đoạn lãnh đạo
common_voice_vi_24144207.mp3,Cao đến ngực người trưởng thành
common_voice_vi_40249427.mp3,Tự nhiên không đâu vào đâu lại sang nói chuyện này
common_voice_vi_24363084.mp3,Nó lại khỏe mạnh trở lại
common_voice_vi_25158138.mp3,Nơi cậu đã nằm đêm qua
common_voice_vi_24362884.mp3,Thì bà ấy cũng không nói lời nào và ra đi như vậy
common_voice_vi_23901409.mp3,Không Tao không muốn
common_voice_vi_23380408.mp3,Thấy ánh mặt trời
common_voice_vi_42788758.mp3,Cây cỏ tỉnh táo
common_voice_vi_25154491.mp3,Chinh rồi dẫn vào trong phòng
common_voice_vi_24124246.mp3,Tôi hi vọng gia đình sẽ cùng phối hợp
common_voice_vi_24976644.mp3,Chẳng hiểu trinh đang nhìn cái gì trên đùi
common_voice_vi_25177597.mp3,Ngày giỗ tao sẽ qua thắp hương cho mày
common_voice_vi_24457611.mp3,Mong con bình an
common_voice_vi_24122354.mp3,Còn quá ra sẽ rất nguy hiểm
common_voice_vi_25117271.mp3,vong hồn con thảo không thể thoát ra để đi siêu sinh
common_voice_vi_24362796.mp3,Cả vui buồn mọi nỗi
common_voice_vi_25154511.mp3,Rồi Lúc xảy ra chuyện không hay
common_voice_vi_24318076.mp3,Chỉ có mẹ thôi
common_voice_vi_24173363.mp3,Già trẻ gái trai ai cũng có mặt
common_voice_vi_24088120.mp3,Tao với mày chứ làm sao được với nhau
common_voice_vi_24362757.mp3,Đi xuống bên dưới
common_voice_vi_23423361.mp3,"Anh vui liền, nhưng bỗng lại buồn ngay"
common_voice_vi_23847794.mp3,Song trai khẽ vẫy tay mặt hớn hở
common_voice_vi_24388591.mp3,Thì phải tìm thầy giải con ạ
common_voice_vi_42788433.mp3,Cuối cùng bố bảo đi không may mắn
common_voice_vi_23933047.mp3,"Tên gọi, bí danh, bút danh"
common_voice_vi_24227474.mp3,bà mời mọi người vào trong nhà
common_voice_vi_24358704.mp3,tại sao lại như thế
